word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
purse	bag	N	8.33	4.9	4.9	4	0.47	1	1.39
ceiling	cathedral	N	2.42	4.85	4.86	4	0.46	1	1.57
bean	coffee	N	5.15	5	4.81	4	0.46	1	1.52
crime	fraud	N	5.65	3.03	1.68	1	0.42	0	1.18
evening	dusk	N	7.78	3.26	4.24	3	0.42	0	1.32
wealth	poverty	N	1.27	2.63	2.54	1	0.41	0	1.47
battle	conquest	N	7.22	4	2.54	2	0.41	0	0.89
friend	teacher	N	2.62	3.07	4.52	3	0.41	0	1.29
game	trick	N	2.32	4.5	3.36	3	0.41	0	1.02
aunt	nephew	N	3.1	4.17	4.48	3	0.41	0	1.31
worker	mechanic	N	4.92	4.59	4.38	3	0.41	0	1.2
oak	maple	N	6.03	4.82	4.46	3	0.41	0	0.39
bee	queen	N	3.27	4.88	4.45	3	0.41	0	1.2
car	bicycle	N	3.47	4.89	4.89	4	0.41	0	1.68
goal	quest	N	5.83	3.06	2.87	2	0.4	0	1.31
physician	doctor	N	8.88	4.65	4.69	3	0.4	0	1.5
circumstance	situation	N	7.85	1.77	2.03	1	0.36	0	1.31
day	dawn	N	5.47	3.92	4.46	3	0.36	0	1.45
cattle	beef	N	7.03	4.64	4.74	3	0.36	0	1.53
arm	vein	N	3.65	4.96	4.63	4	0.36	0	1.62
corporation	business	N	9.02	2.79	3.28	2	0.35	0	1.44
hill	cliff	N	4.28	4.93	4.71	4	0.35	0	1.26
bone	ankle	N	3.82	4.9	4.81	4	0.35	0	0.69
rice	bean	N	2.72	4.86	5	4	0.34	0	1.27
bed	furniture	N	6.08	5	4.89	4	0.34	0	0.84
crime	violation	N	7.12	3.03	2.67	2	0.33	0	0.87
jar	bottle	N	7.83	5	4.91	4	0.33	0	1.44
strength	capability	N	5.28	2.96	1.93	1	0.32	0	1.33
dad	mother	N	3.55	4.29	4.6	3	0.31	0	1.44
captain	sailor	N	5	4.19	4.86	3	0.31	0	1.43
meter	yard	N	5.6	4.7	4.82	4	0.31	0	1.32
beer	champagne	N	4.45	4.88	4.82	4	0.31	0	1.2
science	psychology	N	4.92	2.79	2.31	1	0.3	0	1.91
sinner	saint	N	1.6	3.07	3.45	2	0.3	0	1.39
beach	reef	N	3.77	4.79	4.7	4	0.3	0	1.85
menu	order	N	3.62	4.67	2.79	3	0.29	0	1.42
endurance	strength	N	6.58	2	2.96	1	0.28	0	0.59
men	fraternity	N	3.13	4.75	2.46	2	0.28	0	1.11
journey	conquest	N	4.72	2.57	2.54	1	0.27	0	1.12
god	prey	N	1.23	2.07	3.61	2	0.27	0	1.73
death	catastrophe	N	4.13	3.73	2.96	2	0.27	0	1.46
ray	sunshine	N	6.83	3.57	4.21	3	0.27	0	1.55
guy	stud	N	5.83	4.68	4	3	0.27	0	1.7
apartment	furniture	N	1.28	4.9	4.89	4	0.27	0	1.72
lake	swamp	N	4.92	4.88	4.96	4	0.27	0	1.6
salad	vinegar	N	1.13	4.97	4.89	4	0.27	0	1.65
cloud	mist	N	6.67	4.54	4.51	3	0.26	0	1.43
sugar	honey	N	5.13	4.87	4.88	4	0.26	0	1.07
ball	costume	N	2.32	5	4.57	4	0.24	0	1.02
rail	fence	N	5.22	4.9	4.82	4	0.24	0	1.17
cat	rabbit	N	2.37	4.86	4.93	4	0.22	0	1.67
meat	sandwich	N	2.35	4.9	4.9	4	0.22	0	1.69
intelligence	insight	N	5.9	2.24	1.72	1	0.21	0	1.59
argument	agreement	N	1.45	2.85	2.22	1	0.21	0	1.36
winner	candidate	N	2.78	3.21	3.81	2	0.21	0	1.29
bible	hymn	N	5.15	4.61	4.04	3	0.21	0	1.08
exit	doorway	N	5.5	3.93	4.75	3	0.21	0	1.73
man	sentry	N	3.25	4.79	4.04	3	0.21	0	1.22
aisle	hall	N	6.35	4.35	4.67	3	0.21	0	0.96
oil	mink	N	1.23	4.93	4.58	4	0.21	0	1.53
wagon	carriage	N	7.7	4.89	4.86	4	0.21	0	1.84
car	carriage	N	5.13	4.89	4.86	4	0.21	0	1.2
book	topic	N	2.07	4.9	2.59	3	0.2	0	1.22
sky	universe	N	4.68	4.45	3.85	3	0.2	0	1.39
rabbi	minister	N	7.62	4.64	4.22	3	0.2	0	1.35
meter	inch	N	5.08	4.7	4.37	3	0.2	0	1.19
polyester	cotton	N	5.63	4.12	4.97	3	0.2	0	1.53
pot	appliance	N	2.53	4.81	4.57	3	0.2	0	1.26
cottage	cabin	N	7.72	4.85	4.92	4	0.2	0	1.47
racket	noise	N	8.1	4.26	3.52	3	0.19	0	1.49
drizzle	rain	N	9.17	4.21	4.97	3	0.19	0	0.39
charcoal	coal	N	7.63	4.85	4.66	4	0.19	0	1.43
body	spine	N	4.78	4.79	4.88	4	0.19	0	1.22
log	timber	N	8.05	4.96	4.9	4	0.19	0	1.12
body	nerve	N	3.13	4.79	3.89	3	0.18	0	1.12
bone	neck	N	2.53	4.9	5	4	0.18	0	1.05
reflection	image	N	7.27	3.29	3.85	2	0.16	0	1.06
root	grass	N	3.55	4.34	4.93	3	0.16	0	1.35
brow	eye	N	3.82	4.39	4.9	3	0.16	0	1.41
money	diamond	N	3.42	4.54	4.89	3	0.16	0	1.37
vehicle	bus	N	6.47	4.64	4.9	4	0.16	0	1.38
house	barn	N	4.33	5	4.79	4	0.16	0	1.6
fact	insight	N	4.77	2.72	1.72	1	0.15	0	1.11
cancer	sickness	N	7.93	3.86	3.45	2	0.15	0	1.57
composer	writer	N	6.58	4.37	4.32	3	0.15	0	0.8
actor	singer	N	4.52	4.57	4.62	3	0.15	0	1.26
cabin	hut	N	6.53	4.92	4.65	4	0.15	0	1.37
ignorance	intelligence	N	1.5	1.6	2.24	1	0.14	0	1.3
happiness	luck	N	2.38	2.6	1.33	1	0.14	0	1.2
idea	scheme	N	6.75	1.61	2.41	1	0.14	0	1.47
mood	emotion	N	8.12	1.75	2.44	1	0.14	0	1.64
happiness	peace	N	6.03	2.6	1.62	1	0.14	0	1.35
argument	criticism	N	5.08	2.85	2.07	1	0.14	0	1.07
chemistry	theory	N	3.17	3.64	1.47	1	0.14	0	1.4
comfort	safety	N	5.8	2.89	2.37	2	0.14	0	1.21
confidence	self	N	3.12	2.17	3.1	2	0.14	0	1.24
vision	perception	N	6.88	3.39	2	2	0.14	0	1.31
biography	fiction	N	1.38	3.39	2.14	2	0.14	0	1.24
accident	catastrophe	N	5.9	3.26	2.96	2	0.14	0	1.63
gossip	news	N	5.22	3	3.41	2	0.14	0	1.21
molecule	air	N	3.05	3.27	4.11	2	0.14	0	1.84
adult	guardian	N	6.9	4.4	3.28	3	0.14	0	1.19
communication	television	N	5.6	2.9	4.83	3	0.14	0	1.27
cousin	uncle	N	4.63	3.7	4.24	3	0.14	0	1.84
ballad	song	N	7.53	3.88	4.46	3	0.14	0	0.84
wall	decoration	N	2.62	4.86	3.53	3	0.14	0	0.89
nurse	scientist	N	2.08	4.39	4.24	3	0.14	0	1.06
politician	president	N	7.38	4.33	4.4	3	0.14	0	1.05
book	essay	N	4.72	4.9	3.97	3	0.14	0	1.3
man	warrior	N	4.72	4.79	4.17	3	0.14	0	1.03
crowd	parade	N	3.93	4.52	4.54	3	0.14	0	1.05
aisle	hallway	N	6.75	4.35	4.74	3	0.14	0	1.36
limb	leg	N	6.9	4.64	4.83	4	0.14	0	1.23
liver	lung	N	2.7	4.68	4.82	4	0.14	0	1.38
classroom	hallway	N	2	4.76	4.74	4	0.14	0	1.23
bed	couch	N	3.42	5	4.71	4	0.14	0	1.85
kidney	organ	N	6.17	4.96	4.77	4	0.14	0	0.95
chicken	steak	N	3.73	4.8	4.96	4	0.14	0	1.39
pipe	cigar	N	6.03	4.88	4.93	4	0.14	0	1.01
cup	cone	N	3.17	5	4.86	4	0.14	0	1.13
horse	ox	N	3.02	5	4.86	4	0.14	0	1.18
throat	nose	N	2.8	4.97	4.89	4	0.14	0	1.12
bone	elbow	N	3.78	4.9	5	4	0.14	0	1.58
cup	jar	N	5.13	5	5	4	0.14	0	1.17
proof	fact	N	7.3	2.67	2.72	2	0.13	0	1.7
word	clue	N	2.53	3.56	2.93	2	0.13	0	1.65
letter	paragraph	N	4	4.7	3.96	3	0.13	0	1.12
page	paragraph	N	3.03	4.9	3.96	3	0.13	0	1.37
muscle	bone	N	3.65	4.5	4.9	3	0.13	0	1.68
boy	soldier	N	2.15	4.76	4.72	4	0.13	0	1.51
belly	abdomen	N	8.13	4.8	4.7	4	0.13	0	1.53
bottle	container	N	7.93	4.91	4.85	4	0.13	0	1.38
hen	turkey	N	6.13	4.9	4.89	4	0.13	0	1.6
meat	bread	N	1.67	4.9	4.92	4	0.13	0	1.62
assignment	task	N	8.7	3.86	2.84	2	0.12	0	1.37
night	dawn	N	2.95	4.52	4.46	3	0.12	0	1.53
calf	bull	N	4.93	4.48	4.85	3	0.12	0	1.67
arm	neck	N	1.58	4.96	5	4	0.12	0	0.72
flu	fever	N	6.08	3.65	3.27	2	0.11	0	1.58
nerve	brain	N	3.88	3.89	4.69	3	0.11	0	1.74
beast	animal	N	7.83	4.63	4.61	3	0.11	0	1.64
girl	maid	N	2.93	4.85	4.64	4	0.11	0	0.9
alcohol	wine	N	7.42	4.76	4.79	4	0.11	0	1.53
bias	opinion	N	5.6	1.68	1.93	1	0.1	0	1.16
attention	awareness	N	8.73	2.3	1.84	1	0.1	0	1.64
anger	mood	N	4.1	2.41	1.75	1	0.1	0	1.87
vitamin	iron	N	5.55	4.48	4.59	3	0.1	0	1.14
car	factory	N	2.75	4.89	4.76	4	0.1	0	1.43
winner	presence	N	1.08	3.21	2.72	2	0	0	1.12
winner	goal	N	3.23	3.21	3.06	2	0	0	1.67
trick	size	N	0.48	3.36	3.13	2	0	0	0.59
choice	vein	N	0.98	1.9	4.63	2	0	0	1.11
endurance	band	N	0.4	2	4.68	2	0	0	0.44
flower	endurance	N	0.4	5	2	2	0	0	1.7
doctor	temper	N	0.48	4.69	2.56	2	0	0	1.44
fraternity	door	N	0.68	2.46	4.81	2	0	0	0.94
fraternity	baseball	N	0.88	2.46	4.86	2	0	0	0.98
mouse	management	N	0.48	4.83	2.72	3	0	0	1.59
task	highway	N	0.48	2.84	4.72	3	0	0	1.34
gun	trick	N	0.48	4.83	3.36	3	0	0	1.41
bath	trick	N	0.58	4.85	3.36	3	0	0	1.28
hymn	straw	N	0.4	4.04	4.77	3	0	0	1.64
dentist	colonel	N	0.4	4.93	3.89	3	0	0	1.7
pupil	president	N	0.78	4.55	4.4	3	0	0	1.28
formula	log	N	1.77	4.11	4.96	3	0	0	1.51
apple	sunshine	N	0.58	5	4.21	3	0	0	1.2
gun	dawn	N	1.18	4.83	4.46	3	0	0	1.57
meal	waist	N	0.98	4.62	4.72	3	0	0	1.58
stomach	vein	N	2.35	4.89	4.63	4	0	0	1.2
couch	baseball	N	0.88	4.71	4.86	4	0	0	1.32
deck	mouse	N	0.48	4.77	4.83	4	0	0	1.48
cliff	tail	N	0.3	4.71	4.96	4	0	0	1.57
ankle	window	N	0.3	4.81	4.86	4	0	0	1.8
wagon	container	N	2.65	4.89	4.85	4	0	0	0.85
people	balloon	N	0.48	4.82	4.92	4	0	0	1.96
bath	balloon	N	0.4	4.85	4.92	4	0	0	1.41
bicycle	bedroom	N	0.4	4.89	4.9	4	0	0	1.47
think	rationalize	V	8.25	2.41	1.52	1	3.17	1	1.13
multiply	divide	V	1.75	2.79	2.86	2	2.53	1	1.32
think	decide	V	5.13	2.41	1.92	1	0.88	1	1.4
add	divide	V	2.3	3	2.86	2	0.41	0	1.25
think	inquire	V	4.77	2.41	2.38	1	0.14	0	1.23
contemplate	think	V	8.82	1.71	2.41	1	0.11	0	1.59
try	think	V	2.62	2.22	2.41	1	0.11	0	1.45
