high higher bad JJ_JJR worse
rate rates citizen NN_NNS citizens
rates rate citizens NNS_NN citizen
rate rates company NN_NNS companies
rates rate companies NNS_NN company
rate rates car NN_NNS cars
rates rate cars NNS_NN car
state states project NN_NNS projects
states state projects NNS_NN project
state states month NN_NNS months
states state months NNS_NN month
state states analyst NN_NNS analysts
states state analysts NNS_NN analyst
state states leader NN_NNS leaders
states state leaders NNS_NN leader
expert experts plan NN_NNS plans
experts expert plans NNS_NN plan
expert experts week NN_NNS weeks
experts expert weeks NNS_NN week
expert experts mile NN_NNS miles
experts expert miles NNS_NN mile
expert experts student NN_NNS students
experts expert students NNS_NN student
expert experts family NN_NNS families
experts expert families NNS_NN family
weapon weapons mile NN_NNS miles
weapons weapon miles NNS_NN mile
weapon weapons city NN_NNS cities
weapons weapon cities NNS_NN city
weapon weapons point NN_NNS points
weapons weapon points NNS_NN point
weapon weapons student NN_NNS students
weapons weapon students NNS_NN student
law laws party NN_NNS parties
laws law parties NNS_NN party
law laws weapon NN_NNS weapons
laws law weapons NNS_NN weapon
law laws job NN_NNS jobs
laws law jobs NNS_NN job
agency agencies year NN_NNS years
agencies agency years NNS_NN year
agency agencies sport NN_NNS sports
agencies agency sports NNS_NN sport
agency agencies leader NN_NNS leaders
agencies agency leaders NNS_NN leader
life lives man NN_NNS men
lives life men NNS_NN man
life lives family NN_NNS families
lives life families NNS_NN family
event events right NN_NNS rights
events event rights NNS_NN right
event events patient NN_NNS patients
events event patients NNS_NN patient
event events product NN_NNS products
events event products NNS_NN product
event events student NN_NNS students
events event students NNS_NN student
foot feet child NN_NNS children
feet foot children NNS_NN child
foot feet drug NN_NNS drugs
feet foot drugs NNS_NN drug
foot feet patient NN_NNS patients
feet foot patients NNS_NN patient
foot feet man NN_NNS men
feet foot men NNS_NN man
foot feet teacher NN_NNS teachers
feet foot teachers NNS_NN teacher
patient patients problem NN_NNS problems
patients patient problems NNS_NN problem
patient patients country NN_NNS countries
patients patient countries NNS_NN country
product products system NN_NNS systems
products product systems NNS_NN system
product products sale NN_NNS sales
products product sales NNS_NN sale
product products case NN_NNS cases
products product cases NNS_NN case
report reports person NN_NNS people
reports report people NNS_NN person
report reports friend NN_NNS friends
reports report friends NNS_NN friend
report reports weapon NN_NNS weapons
reports report weapons NNS_NN weapon
report reports citizen NN_NNS citizens
reports report citizens NNS_NN citizen
report reports teacher NN_NNS teachers
reports report teachers NNS_NN teacher
mile miles law NN_NNS laws
miles mile laws NNS_NN law
mile miles sport NN_NNS sports
miles mile sports NNS_NN sport
mile miles parent NN_NNS parents
miles mile parents NNS_NN parent
mile miles man NN_NNS men
miles mile men NNS_NN man
mile miles company NN_NNS companies
miles mile companies NNS_NN company
minute minutes friend NN_NNS friends
minutes minute friends NNS_NN friend
minute minutes report NN_NNS reports
minutes minute reports NNS_NN report
minute minutes building NN_NNS buildings
minutes minute buildings NNS_NN building
minute minutes company NN_NNS companies
minutes minute companies NNS_NN company
teacher teachers hour NN_NNS hours
teachers teacher hours NNS_NN hour
teacher teachers event NN_NNS events
teachers teacher events NNS_NN event
teacher teachers official NN_NNS officials
teachers teacher officials NNS_NN official
car cars law NN_NNS laws
cars car laws NNS_NN law
car cars number NN_NNS numbers
cars car numbers NNS_NN number
number numbers life NN_NNS lives
numbers number lives NNS_NN life
number numbers rule NN_NNS rules
numbers number rules NNS_NN rule
number numbers product NN_NNS products
numbers number products NNS_NN product
number numbers parent NN_NNS parents
numbers number parents NNS_NN parent
party parties week NN_NNS weeks
parties party weeks NNS_NN week
party parties weapon NN_NNS weapons
parties party weapons NNS_NN weapon
condition conditions member NN_NNS members
conditions condition members NNS_NN member
condition conditions loss NN_NNS losses
conditions condition losses NNS_NN loss
condition conditions player NN_NNS players
conditions condition players NNS_NN player
condition conditions man NN_NNS men
conditions condition men NNS_NN man
condition conditions standard NN_NNS standards
conditions condition standards NNS_NN standard
standard standards friend NN_NNS friends
standards standard friends NNS_NN friend
standard standards hour NN_NNS hours
standards standard hours NNS_NN hour
drug drugs time NN_NNS times
drugs drug times NNS_NN time
drug drugs system NN_NNS systems
drugs drug systems NNS_NN system
drug drugs condition NN_NNS conditions
drugs drug conditions NNS_NN condition
drug drugs issue NN_NNS issues
drugs drug issues NNS_NN issue
talk talks friend NN_NNS friends
talks talk friends NNS_NN friend
talk talks case NN_NNS cases
talks talk cases NNS_NN case
talk talks member NN_NNS members
talks talk members NNS_NN member
talk talks game NN_NNS games
talks talk games NNS_NN game
sport sports service NN_NNS services
sports sport services NNS_NN service
sport sports school NN_NNS schools
sports sport schools NNS_NN school
sport sports game NN_NNS games
sports sport games NNS_NN game
sport sports parent NN_NNS parents
sports sport parents NNS_NN parent
analyst analysts number NN_NNS numbers
analysts analyst numbers NNS_NN number
analyst analysts official NN_NNS officials
analysts analyst officials NNS_NN official
analyst analysts family NN_NNS families
analysts analyst families NNS_NN family
analyst analysts group NN_NNS groups
analysts analyst groups NNS_NN group
building buildings project NN_NNS projects
buildings building projects NNS_NN project
building buildings hour NN_NNS hours
buildings building hours NNS_NN hour
building buildings car NN_NNS cars
buildings building cars NNS_NN car
dollar dollars problem NN_NNS problems
dollars dollar problems NNS_NN problem
dollar dollars time NN_NNS times
dollars dollar times NNS_NN time
dollar dollars plan NN_NNS plans
dollars dollar plans NNS_NN plan
dollar dollars sale NN_NNS sales
dollars dollar sales NNS_NN sale
citizen citizens service NN_NNS services
citizens citizen services NNS_NN service
citizen citizens dollar NN_NNS dollars
citizens citizen dollars NNS_NN dollar
citizen citizens city NN_NNS cities
citizens citizen cities NNS_NN city
citizen citizens player NN_NNS players
citizens citizen players NNS_NN player
citizen citizens man NN_NNS men
citizens citizen men NNS_NN man
system systems worker NN_NNS workers
systems system workers NNS_NN worker
system systems loss NN_NNS losses
systems system losses NNS_NN loss
system systems law NN_NNS laws
systems system laws NNS_NN law
system systems citizen NN_NNS citizens
systems system citizens NNS_NN citizen
system systems family NN_NNS families
systems system families NNS_NN family
be is determine VB_VBZ determines
is be determines VBZ_VB determine
be is end VB_VBZ ends
is be ends VBZ_VB end
make makes raise VB_VBZ raises
makes make raises VBZ_VB raise
make makes open VB_VBZ opens
makes make opens VBZ_VB open
make makes study VB_VBZ studies
makes make studies VBZ_VB study
get got show VB_VBD showed
got get showed VBD_VB show
do does look VB_VBZ looks
does do looks VBZ_VB look
leaves left feels VBZ_VBD felt
left leaves felt VBD_VBZ feels
leaves left plays VBZ_VBD played
left leaves played VBD_VBZ plays
leaves left happens VBZ_VBD happened
left leaves happened VBD_VBZ happens
go went open VB_VBD opened
went go opened VBD_VB open
go went feel VB_VBD felt
went go felt VBD_VB feel
help helps study VB_VBZ studies
helps help studies VBZ_VB study
help helped hold VB_VBD held
helped help held VBD_VB hold
help helps end VB_VBZ ends
helps help ends VBZ_VB end
play plays know VB_VBZ knows
plays play knows VBZ_VB know
play plays make VB_VBZ makes
plays play makes VBZ_VB make
work worked need VB_VBD needed
worked work needed VBD_VB need
accept accepted open VB_VBD opened
accepted accept opened VBD_VB open
accept accepted go VB_VBD went
accepted accept went VBD_VB go
know knows be VB_VBZ is
knows know is VBZ_VB be
become becomes live VB_VBZ lives
becomes become lives VBZ_VB live
become becomes end VB_VBZ ends
becomes become ends VBZ_VB end
pay paid increase VB_VBD increased
paid pay increased VBD_VB increase
pay paid become VB_VBD became
paid pay became VBD_VB become
pay paid show VB_VBD showed
paid pay showed VBD_VB show
brings brought moves VBZ_VBD moved
brought brings moved VBD_VBZ moves
brings brought works VBZ_VBD worked
brought brings worked VBD_VBZ works
look looks increase VB_VBZ increases
looks look increases VBZ_VB increase
look looks determine VB_VBZ determines
looks look determines VBZ_VB determine
look looks feel VB_VBZ feels
looks look feels VBZ_VB feel
show showed need VB_VBD needed
showed show needed VBD_VB need
move moved get VB_VBD got
moved move got VBD_VB get
move moves ask VB_VBZ asks
moves move asks VBZ_VB ask
move moves study VB_VBZ studies
moves move studies VBZ_VB study
study studies increase VB_VBZ increases
studies study increases VBZ_VB increase
study studies raise VB_VBZ raises
studies study raises VBZ_VB raise
study studies determine VB_VBZ determines
studies study determines VBZ_VB determine
study studies become VB_VBZ becomes
studies study becomes VBZ_VB become
buy bought open VB_VBD opened
bought buy opened VBD_VB open
change changed raise VB_VBD raised
changed change raised VBD_VB raise
change changes raise VB_VBZ raises
changes change raises VBZ_VB raise
changes changed raises VBZ_VBD raised
changed changes raised VBD_VBZ raises
change changed tell VB_VBD told
changed change told VBD_VB tell
feels felt brings VBZ_VBD brought
felt feels brought VBD_VBZ brings
feel feels determine VB_VBZ determines
feels feel determines VBZ_VB determine
extend extends live VB_VBZ lives
extends extend lives VBZ_VB live
tell told help VB_VBD helped
told tell helped VBD_VB help
improve improved become VB_VBD became
improved improve became VBD_VB become
remains remained becomes VBZ_VBD became
remained remains became VBD_VBZ becomes
raises raised happens VBZ_VBD happened
raised raises happened VBD_VBZ happens
ask asks stop VB_VBZ stops
asks ask stops VBZ_VB stop
ask asks look VB_VBZ looks
asks ask looks VBZ_VB look
ask asks become VB_VBZ becomes
asks ask becomes VBZ_VB become
call calls become VB_VBZ becomes
calls call becomes VBZ_VB become
live lives know VB_VBZ knows
lives live knows VBZ_VB know
live lives call VB_VBZ calls
lives live calls VBZ_VB call
live lives work VB_VBZ works
lives live works VBZ_VB work
happens happened brings VBZ_VBD brought
happened happens brought VBD_VBZ brings
opens opened leaves VBZ_VBD left
opened opens left VBD_VBZ leaves
open opens know VB_VBZ knows
opens open knows VBZ_VB know
need needed tell VB_VBD told
needed need told VBD_VB tell
